nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
8;5.13534;0.75596378;112.215;571.10;28.25;4.24E-04;265.91;0.251;0.268;280.37;142.37;43.33;-0.0004;111.55;-0.0016;-1.87E-06;0.2656;0.2807;0.2857;17.5810;-2346.90;-3.3161;0.0000E+00;0.0000E+00;147.846;0.4017;-1.1112E-03;1.7889E-06;0.1828;-1.1146E-04;-2.4175E-07;48.690;0.380;54.999;1.2222;26.32
8;4.84873;0.71377187;112.215;591.57;28.54;4.22E-04;265.91;0.245;0.272;288.15;156.72;43.31;-1.4258;331.59;0.0015;-3.89E-06;0.2656;0.2702;0.2857;17.9650;-2453.20;-3.4226;0.0000E+00;0.0000E+00;145.658;0.4195;-1.1397E-03;1.7781E-06;0.1821;-1.0382E-04;-2.3028E-07;50.524;0.380;56.954;1.2222;24.22
8;5.13556;0.75599570;112.215;582.61;28.34;4.23E-04;265.91;0.247;0.267;284.82;140.85;43.32;-0.8753;244.64;0.0003;-3.15E-06;0.2656;0.2717;0.2857;18.2050;-2433.40;-3.5069;0.0000E+00;0.0000E+00;147.082;0.4071;-1.1280E-03;1.8138E-06;0.1830;-1.1004E-04;-2.3193E-07;49.721;0.380;55.384;1.2222;26.32
9;0.00000;0.00000000;126.242;682.00;33.44;4.57E-04;276.24;0.270;0.281;322.04;284.15;43.93;-1.0602;470.47;-0.0004;-1.43E-06;0.2762;0.2673;0.2857;17.7670;-2810.20;-3.2633;0.0000E+00;0.0000E+00;142.580;0.4511;-1.0392E-03;1.3166E-06;0.1624;-5.4706E-05;-1.9095E-07;58.516;0.380;62.682;1.2222;30.53
9;6.71502;0.67383908;126.242;622.56;28.20;4.70E-04;269.17;0.256;0.271;300.93;177.35;43.61;-3.7699;693.45;0.0066;-7.16E-06;0.2689;0.2742;0.2857;18.7300;-2638.50;-3.6385;0.0000E+00;0.0000E+00;162.203;0.4324;-1.1063E-03;1.6474E-06;0.1711;-8.8165E-05;-2.0297E-07;53.607;0.380;56.500;1.2222;29.70
9;1.15985;0.11638824;126.242;625.05;27.64;4.81E-04;263.00;0.255;0.354;308.15;165.18;43.67;-4.7446;824.50;0.0091;-9.21E-06;0.2516;0.2560;0.2857;63.5930;-4322.60;-20.6460;8.7543E-03;-2.7299E-07;237.663;-0.1596;7.2063E-04;0.0000E+00;0.1759;-9.0017E-05;-2.0778E-07;56.572;0.380;56.070;1.2222;45.70
9;2.68144;0.26907758;126.242;626.59;27.88;4.75E-04;266.33;0.254;0.330;307.04;186.59;43.62;-4.5651;813.74;0.0085;-8.62E-06;0.2661;0.2699;0.2857;19.3600;-2783.30;-3.7889;0.0000E+00;0.0000E+00;163.475;0.4848;-1.2507E-03;1.7991E-06;0.1731;-8.4107E-05;-2.0971E-07;56.633;0.380;57.264;1.2222;41.13
9;2.03532;0.20424092;126.242;622.31;26.71;4.80E-04;263.55;0.247;0.334;306.48;155.15;43.51;-3.8488;715.65;0.0068;-7.49E-06;0.2633;0.2653;0.2857;18.6040;-2719.90;-3.5546;0.0000E+00;0.0000E+00;169.574;0.4599;-1.2118E-03;1.8215E-06;0.1760;-9.3299E-05;-2.0554E-07;56.623;0.380;56.238;1.2222;37.40
9;2.92252;0.29326953;126.242;624.67;29.00;4.79E-04;264.10;0.267;0.321;304.26;177.55;43.79;-5.0190;865.84;0.0096;-9.48E-06;0.2638;0.2636;0.2857;18.5150;-2700.30;-3.5250;0.0000E+00;0.0000E+00;161.897;0.4692;-1.2149E-03;1.7833E-06;0.1727;-8.7318E-05;-2.0576E-07;55.845;0.380;57.959;1.2222;26.95
9;2.32189;0.23299732;126.242;617.12;26.71;4.80E-04;263.55;0.249;0.334;304.26;197.35;43.51;-3.7079;687.88;0.0066;-7.42E-06;0.2633;0.2678;0.2857;18.5590;-2694.90;-3.5445;0.0000E+00;0.0000E+00;158.702;0.5423;-1.4256E-03;2.0130E-06;0.1729;-8.1185E-05;-2.2212E-07;56.128;0.380;56.073;1.2222;41.32
9;2.03257;0.20396494;126.242;613.51;26.71;4.80E-04;263.55;0.251;0.334;302.59;178.15;43.51;-3.6019;667.50;0.0064;-7.35E-06;0.2633;0.2692;0.2857;18.5280;-2677.60;-3.5373;0.0000E+00;0.0000E+00;162.942;0.5095;-1.3523E-03;1.9693E-06;0.1743;-8.7586E-05;-2.1847E-07;55.784;0.380;55.958;1.2222;37.40
9;2.32171;0.23297889;126.242;617.12;26.71;4.80E-04;263.55;0.249;0.334;304.26;197.35;43.51;-3.7079;687.88;0.0066;-7.42E-06;0.2633;0.2682;0.2857;18.5590;-2694.90;-3.5445;0.0000E+00;0.0000E+00;158.823;0.5414;-1.4230E-03;2.0095E-06;0.1729;-8.1185E-05;-2.2212E-07;56.128;0.380;56.073;1.2222;41.32
9;5.76108;0.57811353;126.242;605.02;27.99;4.78E-04;264.66;0.265;0.296;295.93;221.25;43.64;-3.5871;642.16;0.0065;-7.52E-06;0.2644;0.2731;0.2857;18.0920;-2558.10;-3.4301;0.0000E+00;0.0000E+00;147.856;0.5678;-1.4978E-03;2.0818E-06;0.1686;-7.5073E-05;-2.3354E-07;53.119;0.380;56.142;1.2222;25.51
9;5.75965;0.57796968;126.242;605.02;27.99;4.78E-04;264.66;0.265;0.296;295.93;221.25;43.64;-3.5871;642.16;0.0065;-7.52E-06;0.2644;0.2714;0.2857;18.0920;-2558.10;-3.4301;0.0000E+00;0.0000E+00;147.329;0.5716;-1.5091E-03;2.0969E-06;0.1686;-7.5073E-05;-2.3354E-07;53.119;0.380;56.142;1.2222;25.51
9;5.30483;0.53233005;126.242;616.85;27.99;4.78E-04;264.66;0.260;0.296;300.37;221.25;43.64;-3.9075;705.33;0.0071;-7.68E-06;0.2644;0.2646;0.2857;18.1950;-2613.20;-3.4537;0.0000E+00;0.0000E+00;149.033;0.5580;-1.4500E-03;2.0044E-06;0.1689;-7.4482E-05;-2.2416E-07;54.209;0.380;56.524;1.2222;19.52
9;5.30356;0.53220241;126.242;616.85;27.99;4.78E-04;264.66;0.260;0.296;300.37;221.25;43.64;-3.9075;705.33;0.0071;-7.68E-06;0.2644;0.2658;0.2857;18.1950;-2613.20;-3.4537;0.0000E+00;0.0000E+00;149.404;0.5554;-1.4421E-03;1.9940E-06;0.1689;-7.4482E-05;-2.2416E-07;54.209;0.380;56.524;1.2222;19.52
9;5.68778;0.57075810;126.242;607.98;27.99;4.78E-04;264.66;0.264;0.296;297.04;221.25;43.64;-3.6742;658.89;0.0067;-7.57E-06;0.2644;0.2677;0.2857;18.1180;-2571.90;-3.4361;0.0000E+00;0.0000E+00;147.144;0.5726;-1.5071E-03;2.0908E-06;0.1687;-7.4928E-05;-2.3114E-07;53.392;0.380;56.238;1.2222;24.00
9;6.14465;0.61660429;126.242;602.06;27.99;4.78E-04;264.66;0.267;0.296;294.26;221.25;43.64;-3.4948;624.73;0.0064;-7.46E-06;0.2644;0.2744;0.2857;18.0660;-2544.30;-3.4241;0.0000E+00;0.0000E+00;147.266;0.5725;-1.5165E-03;2.1104E-06;0.1685;-7.5216E-05;-2.3598E-07;52.847;0.380;56.046;1.2222;35.02
9;4.19862;0.42132340;126.242;610.05;25.82;4.79E-04;264.10;0.243;0.309;300.37;193.11;43.35;-2.4616;511.79;0.0037;-5.30E-06;0.2638;0.2690;0.2857;18.2470;-2611.90;-3.4749;0.0000E+00;0.0000E+00;157.845;0.5397;-1.4331E-03;2.0486E-06;0.1727;-8.3369E-05;-2.2469E-07;54.555;0.380;54.736;1.2222;27.31
