nC;eta_B_star;eta_B_star_norm;W;Tc;Pc;Vc;rhoc;Zc;omega;Tf;Tfz;Hc;Amu;Bmu;Cmu;Dmu;Arho;Brho;Crho;Asat;Bsat;Csat;Dsat;Esat;Ac;Bc;Cc;Dc;Ak;Bk;Ck;Avap;Bvap;Asigma;Bsigma;DCN
13;5.29582;0.86315936;170.254;786.77;26.71;5.78E-04;294.56;0.236;0.492;390.93;335.15;39.92;-9.1060;1839.40;0.0152;-1.06E-05;0.2948;0.2453;0.2857;21.0590;-3896.80;-4.0765;0.0000E+00;0.0000E+00;132.037;1.1750;-2.4253E-03;2.2094E-06;0.1470;-2.7368E-05;-1.4961E-07;79.168;0.380;63.852;1.2222;2.36
13;5.76317;0.99959081;170.254;779.72;26.71;5.78E-04;294.56;0.238;0.491;388.15;286.15;40.03;-8.8122;1774.90;0.0148;-1.04E-05;0.2948;0.2453;0.2857;18.2560;-3618.90;-3.2203;0.0000E+00;0.0000E+00;201.377;0.6018;-1.2933E-03;1.4633E-06;0.1506;-3.9397E-05;-1.4289E-07;78.393;0.380;63.651;1.2222;3.42
14;2.37976;0.00000000;184.281;792.00;26.80;6.31E-04;292.05;0.257;0.495;393.71;253.43;40.39;-9.3474;1917.40;0.0152;-1.02E-05;0.2921;0.2526;0.2834;49.7690;-5518.10;-13.7080;1.2616E-10;1.9679E-06;233.949;0.5543;-1.1740E-03;1.3753E-06;0.1473;-4.4464E-05;-1.2798E-07;86.593;0.403;64.118;1.2675;6.00
14;2.61518;0.04928366;184.281;780.96;24.98;6.34E-04;291.12;0.244;0.533;393.71;268.16;40.38;-9.3883;1842.60;0.0161;-1.13E-05;0.2812;0.2440;0.2857;13.6300;-3300.90;-1.7737;0.0000E+00;0.0000E+00;222.764;0.6612;-1.4412E-03;1.6373E-06;0.1482;-4.0188E-05;-1.3856E-07;86.920;0.380;62.820;1.2222;7.41
14;3.32633;0.19815802;184.281;812.35;24.60;6.34E-04;291.12;0.231;0.537;408.15;333.04;40.27;-10.8140;2200.70;0.0178;-1.17E-05;0.2909;0.2477;0.2857;1.1239;-2291.90;2.0495;0.0000E+00;0.0000E+00;149.966;1.2848;-2.5907E-03;2.2862E-06;0.1442;-2.5392E-05;-1.3873E-07;84.664;0.380;63.520;1.2222;3.92
14;3.32672;0.19823847;184.281;812.35;24.60;6.34E-04;291.12;0.231;0.537;408.15;333.04;40.27;-10.8140;2200.70;0.0178;-1.17E-05;0.2909;0.2477;0.2857;1.1239;-2291.90;2.0495;0.0000E+00;0.0000E+00;149.966;1.2848;-2.5907E-03;2.2862E-06;0.1442;-2.5392E-05;-1.3873E-07;84.664;0.380;63.520;1.2222;3.87
14;3.09194;0.14908917;184.281;812.35;24.60;6.34E-04;291.12;0.231;0.537;408.15;293.15;40.39;-10.8140;2200.70;0.0178;-1.17E-05;0.2909;0.2479;0.2857;1.1239;-2291.90;2.0495;0.0000E+00;0.0000E+00;225.700;0.6371;-1.3324E-03;1.4512E-06;0.1472;-3.4541E-05;-1.3184E-07;84.664;0.380;63.520;1.2222;3.84
14;3.09120;0.14893500;184.281;812.35;24.60;6.34E-04;291.12;0.231;0.537;408.15;333.04;40.27;-10.8140;2200.70;0.0178;-1.17E-05;0.2909;0.2477;0.2857;1.1239;-2291.90;2.0495;0.0000E+00;0.0000E+00;149.966;1.2848;-2.5907E-03;2.2862E-06;0.1442;-2.5392E-05;-1.3873E-07;84.664;0.380;63.520;1.2222;3.79
14;3.32607;0.19810215;184.281;812.35;24.60;6.34E-04;291.12;0.231;0.537;408.15;333.04;40.27;-10.8140;2200.70;0.0178;-1.17E-05;0.2909;0.2477;0.2857;1.1239;-2291.90;2.0495;0.0000E+00;0.0000E+00;149.966;1.2848;-2.5907E-03;2.2862E-06;0.1442;-2.5392E-05;-1.3873E-07;84.664;0.380;63.520;1.2222;3.87
14;5.09754;0.56894749;184.281;811.44;24.24;6.34E-04;291.12;0.227;0.536;408.15;333.04;40.27;-10.7540;2192.00;0.0177;-1.16E-05;0.2909;0.2476;0.2857;-7.9824;-1459.60;4.8263;0.0000E+00;0.0000E+00;147.796;1.2910;-2.6063E-03;2.2981E-06;0.1443;-2.5189E-05;-1.3946E-07;84.757;0.380;63.143;1.2222;3.01
14;4.86076;0.51937859;184.281;811.44;24.24;6.34E-04;291.12;0.227;0.536;408.15;333.04;40.27;-10.7540;2192.00;0.0177;-1.16E-05;0.2909;0.2476;0.2857;-7.9824;-1459.60;4.8263;0.0000E+00;0.0000E+00;147.796;1.2910;-2.6063E-03;2.2981E-06;0.1443;-2.5189E-05;-1.3946E-07;84.757;0.380;63.143;1.2222;2.38
14;5.09836;0.56911738;184.281;811.44;24.24;6.34E-04;291.12;0.227;0.536;408.15;333.04;40.27;-10.7540;2192.00;0.0177;-1.16E-05;0.2909;0.2476;0.2857;-7.9824;-1459.60;4.8263;0.0000E+00;0.0000E+00;147.796;1.2910;-2.6063E-03;2.2981E-06;0.1443;-2.5189E-05;-1.3946E-07;84.757;0.380;63.143;1.2222;3.02
